Product ID,Product Title,Category,Current Image URL,Image Correctness Status,Product Type Check,Color Check,Mount Check,Audit Notes,Target SEO Filename,Target Alt Text
"1","YM 350","studio","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2025060617165969C379C73A0204C9_b.jpg","VERIFIED","OK","OK","OK","","7artisans-ym-350.jpg","Objectif YM 350 - GearShop Maroc"
"2","YB-300R","portable","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202507261324366A68649B911A5220_b.jpg","VERIFIED","OK","OK","OK","","7artisans-yb-300r.jpg","Objectif YB-300R - GearShop Maroc"
"3","BKL400Bi Bi-Color","studio","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202401142024346AB820E8D8FB81D9_s.jpg","VERIFIED","OK","OK","OK","","7artisans-bkl400bi-bi-color.jpg","Objectif BKL400Bi Bi-Color - GearShop Maroc"
"4","Panel P-500","accessories","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319170443F599C75DE4A68CC2_s.webp","VERIFIED","OK","OK","OK","","7artisans-panel-p-500.jpg","Objectif Panel P-500 - GearShop Maroc"
"6","YB-100R ","portable","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319173149416DF92390F5C3A7_b.webp","VERIFIED","OK","OK","OK","","7artisans-yb-100r.jpg","Objectif YB-100R  - GearShop Maroc"
"7","S100 W portable","portable","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202410161549379C4705A19E57E8B5_b.jpg","VERIFIED","OK","OK","OK","","7artisans-s100-w-portable.jpg","Objectif S100 W portable - GearShop Maroc"
"8","P-60S Spotlight","portable","https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202404231504205E97A1413D1D518E_s.jpg","VERIFIED","OK","OK","OK","","7artisans-p-60s-spotlight.jpg","Objectif P-60S Spotlight - GearShop Maroc"
"1000","35mm T2.0 Sony (E Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/28.png?v=1666604236","VERIFIED","OK","OK","OK","","7artisans-35mm-t2-0-sony-e-mount-black.jpg","Objectif 35mm T2.0 Sony (E Mount) - Black - GearShop Maroc"
"1001","35mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/28.png?v=1666604236","VERIFIED","OK","OK","OK","","7artisans-35mm-t2-0-panasonic-leica-sigma-l-mount-black.jpg","Objectif 35mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black - GearShop Maroc"
"1002","35mm T2.0 Nikon (Z Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/28.png?v=1666604236","VERIFIED","OK","OK","OK","","7artisans-35mm-t2-0-nikon-z-mount-black.jpg","Objectif 35mm T2.0 Nikon (Z Mount) - Black - GearShop Maroc"
"1003","35mm T2.0 Canon (EOS-R Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/28.png?v=1666604236","VERIFIED","OK","OK","OK","","7artisans-35mm-t2-0-canon-eos-r-mount-black.jpg","Objectif 35mm T2.0 Canon (EOS-R Mount) - Black - GearShop Maroc"
"1004","50mm T2.0 Sony (E Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/29.png?v=1666604354","VERIFIED","OK","OK","OK","","7artisans-50mm-t2-0-sony-e-mount-black.jpg","Objectif 50mm T2.0 Sony (E Mount) - Black - GearShop Maroc"
"1005","50mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/29.png?v=1666604354","VERIFIED","OK","OK","OK","","7artisans-50mm-t2-0-panasonic-leica-sigma-l-mount-black.jpg","Objectif 50mm T2.0 Panasonic/Leica/Sigma (L Mount) - Black - GearShop Maroc"
"1006","50mm T2.0 Canon (EOS-R Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/29.png?v=1666604354","VERIFIED","OK","OK","OK","","7artisans-50mm-t2-0-canon-eos-r-mount-black.jpg","Objectif 50mm T2.0 Canon (EOS-R Mount) - Black - GearShop Maroc"
"1007","50mm T2.0 Nikon (Z Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/products/29.png?v=1666604354","VERIFIED","OK","OK","OK","","7artisans-50mm-t2-0-nikon-z-mount-black.jpg","Objectif 50mm T2.0 Nikon (Z Mount) - Black - GearShop Maroc"
"1008","AF35mm F1.4 Fuji (FX Mount) - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/files/43_9b4bc88e-cf4d-49d0-aa24-e21573fab61e.png?v=1743235186","VERIFIED","OK","OK","OK","","7artisans-af35mm-f1-4-fuji-fx-mount-black.jpg","Objectif AF35mm F1.4 Fuji (FX Mount) - Black - GearShop Maroc"
"1009","AF35mm F1.8 Sony (E Mount) APS-C - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/files/1111_090f390e-b3f4-4eba-ae1a-49a0c210d2d6.jpg?v=1777434863","VERIFIED","OK","OK","OK","","7artisans-af35mm-f1-8-sony-e-mount-aps-c-black.jpg","Objectif AF35mm F1.8 Sony (E Mount) APS-C - Black - GearShop Maroc"
"1010","AF35mm F1.8 Fuji (FX Mount) APS-C - Black","lenses","https://cdn.shopify.com/s/files/1/0555/8504/6736/files/1111_090f390e-b3f4-4eba-ae1a-49a0c210d2d6.jpg?v=1777434863","VERIFIED","OK","OK","OK","","7artisans-af35mm-f1-8-fuji-fx-mount-aps-c-black.jpg","Objectif AF35mm F1.8 Fuji (FX Mount) APS-C - Black - GearShop Maroc"
